card_name,info_type,image_src,image_data_file_width,image_width,language_Rōmaji,image_height,info_number,info_lore,info_password,language_Japanese,image_data_file_height,info_atk_def,info_rarity,image_alt,language_Translated,info_card_type
B-Eye White Dragon,Dragon,https://ms.yugipedia.com//1/1d/BlueEyesWhiteDragon-DM1-JP-VG.png,160,160,Burūaizu Howaito Doragon,144,001,A super-rare card with supremeATKandDEF こうげき　しゅびがさいこうの　なかなかてにはいらない　ちょうレアカード,,ブルーアイズ・ホワイトドラゴン,144,3000 / 2500,S,BlueEyesWhiteDragon-DM1-JP-VG.png,Blue-Eyes White Dragon,
Mystical Elf,Spellcaster,https://ms.yugipedia.com//e/ea/MysticalElf-DM1-JP-VG.png,160,160,Hōrī Erufu,144,002,"A delicate elf that lacks offense, but has a terrific defense backed by mystical power. かよわいエルフだが　せいなるちからでみをまもり　とてもしゅびがたかい",,ホーリー・エルフ,144,800 / 2000,D,MysticalElf-DM1-JP-VG.png,Holy Elf,
Hitotsu-me Giant,Beast-Warrior,https://ms.yugipedia.com//0/00/HitotsuMeGiant-DM1-JP-VG.png,160,160,Saikuropusu,144,003,"A one-eyed behemoth with thick, powerful arms made for delivering punishing blows. １つめの　きょじん　ふとい　うででなぐりかかってくる　ようちゅうい",,サイクロプス,144,1200 / 1000,B,HitotsuMeGiant-DM1-JP-VG.png,Cyclops,
Baby Dragon,Dragon,https://ms.yugipedia.com//3/3a/BabyDragon-DM1-JP-VG.png,160,160,Bebī Doragon,144,004,"Much more than just a child, this dragon is gifted with untapped power. こどもドラゴンとあなどってはいけないうちにひめるちからは　はかりしれない",,ベビードラゴン,144,1200 / 700,S,BabyDragon-DM1-JP-VG.png,,
Ryu-kishin,Fiend,https://ms.yugipedia.com//8/82/RyuKishin-DM1-JP-VG.png,160,160,Gāgoiru,144,005,A very elusive creature that looks like a harmless statue until it attacks. せきぞうとおもわせ　やみのなかからこうげきをする　にげあしもすばやい,,ガーゴイル,144,1000 / 500,A,RyuKishin-DM1-JP-VG.png,Gargoyle,
Feral Imp,Fiend,https://ms.yugipedia.com//9/9f/FeralImp-DM1-JP-VG.png,160,160,Guremurin,144,006,"A playful little fiend that lurks in the dark, waiting to attack an unwary enemy. いたずらずきの　ちいさなあくまくらやみからおそってくる　きをつけろ",,グレムリン,144,1300 / 1400,C,FeralImp-DM1-JP-VG.png,Gremlin,
Winged Dragon #1,Dragon,https://ms.yugipedia.com//6/66/WingedDragonGuardianoftheFortress1-DM1-JP-VG.png,160,160,Toride o Mamoru Yokuryū,144,007,A dragon commonly found guarding mountain fortresses. Its signature attack is a sweeping dive from out of the blue. やまのとりでをまもるりゅう　てんくうからきゅうこうかして　てきをこうげき,,とりでをまもるよくりゅう,144,1400 / 1200,D,WingedDragonGuardianoftheFortress1-DM1-JP-VG.png,Fortress-Protecting Winged Dragon,
Mushroom Man,Plant,https://ms.yugipedia.com//7/7e/MushroomMan-DM1-JP-VG.png,160,160,Kinokoman,144,008,"Found in humid regions, this creature attacks enemies with a lethal rain of poison spores. ジメジメしたところで　ちからをはっきかさから　きんしをふりまき　こうげき",,きのこマン,144,800 / 600,D,MushroomMan-DM1-JP-VG.png,,
Shadow Specter,Zombie,https://ms.yugipedia.com//b/be/ShadowSpecter-DM1-JP-VG.png,160,160,Herubaundo,144,009,"Powerful in groups, this animal spirit can be found in thewastelands. こうやにあらわれる　けもののぼうれいかずがあつまると　やっかいなカード",,ヘルバウンド,144,500 / 200,A,ShadowSpecter-DM1-JP-VG.png,Hell-Bound,
Blackland Fire Dra,Dragon,https://ms.yugipedia.com//0/05/BlacklandFireDragon-DM1-JP-VG.png,160,160,Ankoku no Doragon,144,010,"A dragon that dwells in the depths of darkness, its vulnerability lies in its poor eyesight. くらやみの　おくふかくにせいそくするドラゴン　めはあまりよくない",,あんこくのドラゴン,144,1500 / 800,D,BlacklandFireDragon-DM1-JP-VG.png,Dark Dragon,
Sword Arm of Drago,Dinosaur,https://ms.yugipedia.com//d/da/SwordArmofDragon-DM1-JP-VG.png,160,160,Sōdo Doragon,144,011,"With a body covered in sword-like thorns, nothing dares stand in the way of this charging monster. ぜんしんに　カタナのとげがついたきょうりゅう　とっしんこうげきをする",,ソードドラゴン,144,1750 / 2030,B,SwordArmofDragon-DM1-JP-VG.png,Sword Dragon,
Swamp Battleguard,Warrior,https://ms.yugipedia.com//d/d6/SwampBattleguard-DM1-JP-VG.png,160,160,Bābarian Nigō,144,012,"Crushes all comers with his spiked club. It is not known why he is called ""Number 2"". トゲつきこんぼうで　あらゆるものをはかいする　なぜ２ごうかはふめい",,バーバリアン２ごう,144,1800 / 1500,A,SwampBattleguard-DM1-JP-VG.png,Barbarian #2,
